Ref,Package,PosX,PosY,width_mm,height_mm,Rot,Side
TP_LL0,TP-SP,139.7381,-88.4936,0.8,0.8,0.0,top
TP_VIN0,TP-SP,159.9311,-129.1336,0.8,0.8,0.0,top
C10,C0603-ROUND,158.5341,-121.1326,2.6764,1.1,180.0,top
TP_A5,TP-SP,177.7111,-129.1336,0.8,0.8,0.0,top
TP_SCL0,TP-SP,133.0071,-80.8736,0.8,0.8,0.0,top
RESET-EN0,SJ,142.1511,-104.3686,2.6924,1.6002,0.0,top
TP_11,TP-SP,148.2471,-80.8736,0.8,0.8,0.0,top
TP_PWRIN0,TP-SP,127.4191,-123.4186,0.8,0.8,0.0,top
TP_0,TP-SP,177.7111,-80.8736,0.8,0.8,0.0,top
TP_XT2,TP-SP,154.2161,-111.4806,0.8,0.8,0.0,top
UNK_HOLE_3,dummyfp3,128.1811,-129.1336,3.2,3.2,0.0,top
TP_8,TP-SP,155.8671,-80.8736,0.8,0.8,0.0,top
X1,POWERSUPPLY_DC-21MM,119.5451,-123.2916,9.9944,9.0038,90.0,top
FD3,FIDUCIA-MOUNT,117.9411,-128.2636,1.016,1.016,0.0,top
TP_A0,TP-SP,165.0111,-129.1336,0.8,0.8,0.0,top
JP2,2X02,133.7691,-90.5256,4.2164,4.2164,90.0,top
TP_9,TP-SP,153.3271,-80.8736,0.8,0.8,0.0,top
C8,C0603-ROUND,126.9111,-89.7636,2.6764,1.1,180.0,top
U1,SOT223,121.9581,-114.2746,8.4154,5.842,90.0,top
AD0,1X06,171.3611,-129.1336,14.1224,2.1336,0.0,top
RN1,CAY16,142.1511,-107.7976,2.0,2.9,90.0,top
ON0,CHIP-LED0805,172.6311,-95.0976,3.3,1.2,-90.0,top
C4,C0603-ROUND,142.1511,-87.2236,2.6764,1.1,180.0,top
RX0,CHIP-LED0805,142.1511,-97.3836,3.3,1.2,90.0,top
TP_RESET2,TP-SP,129.9591,-84.1756,0.8,0.8,0.0,top
TP_USH0,TP-SP,123.2281,-88.8746,0.8,0.8,0.0,top
TP_GATE0,TP-SP,126.2761,-110.2106,0.8,0.8,0.0,top
TP_10,TP-SP,150.7871,-80.8736,0.8,0.8,0.0,top
ICSP1,2X03,132.4991,-85.4456,6.63,4.09,180.0,top
TP_LCMD0,TP-SP,133.1341,-110.5916,0.8,0.8,0.0,top
TP_XT1,TP-SP,156.7561,-111.4806,0.8,0.8,0.0,top
TP_TX0,TP-SP,165.2651,-99.6696,0.8,0.8,0.0,top
TP_TXL0,TP-SP,145.5801,-92.9386,0.8,0.8,0.0,top
UNK_HOLE_0,dummyfp0,180.2511,-96.1136,3.2,3.2,0.0,top
TP_4,TP-SP,167.5511,-80.8736,0.8,0.8,0.0,top
C6,C0603-ROUND,159.9311,-108.8136,2.6764,1.1,0.0,top
FD2,FIDUCIA-MOUNT,168.0511,-114.9326,1.016,1.016,0.0,top
TP_A2,TP-SP,170.0911,-129.1336,0.8,0.8,0.0,top
TP_A1,TP-SP,167.5511,-129.1336,0.8,0.8,0.0,top
TP_XT4,TP-SP,135.6741,-105.5116,0.8,0.8,0.0,top
TP_5V0,TP-SP,152.3111,-129.1336,0.8,0.8,0.0,top
TP_MISO2,TP-SP,135.0391,-84.1756,0.8,0.8,0.0,top
TX0,CHIP-LED0805,142.1511,-95.0976,3.3,1.2,90.0,top
TP_5,TP-SP,165.0111,-80.8736,0.8,0.8,0.0,top
TP_PB4,TP-SP,135.0391,-91.7956,0.8,0.8,0.0,top
TP_A4,TP-SP,175.1711,-129.1336,0.8,0.8,0.0,top
PC2,PANASONIC_D,132.6261,-122.5296,1.4,7.8,90.0,top
R2,R0603-ROUND,155.4861,-108.9406,2.6764,1.1,180.0,top
TP_RXL0,TP-SP,145.5801,-95.9866,0.8,0.8,0.0,top
ICSP0,2X03,179.1081,-103.7336,4.09,6.63,-90.0,top
D2,MINIMELF,173.6471,-103.7336,1.8,4.8,-90.0,top
TP_D+0,TP-SP,120.1801,-92.3036,0.8,0.8,0.0,top
TP_D-0,TP-SP,122.7201,-92.3036,0.8,0.8,0.0,top
TP_5V1,TP-SP,180.3781,-101.1936,0.8,0.8,0.0,top
TP_PB6,TP-SP,132.4991,-91.7956,0.8,0.8,0.0,top
U3,MLF32,134.1501,-97.0026,5.6,5.6,90.0,top
C1,C0603-ROUND,132.6261,-116.3066,1.1,2.6764,-90.0,top
L1,0805,121.8311,-86.5886,3.4,1.0,180.0,top
TP_3,TP-SP,170.0911,-80.8736,0.8,0.8,0.0,top
TP_VUCAP0,TP-SP,129.1971,-89.7636,0.8,0.8,0.0,top
R1,R0603-ROUND,133.2611,-102.0826,2.6764,1.1,0.0,top
TP_PB7,TP-SP,132.4991,-89.2556,0.8,0.8,0.0,top
PC1,PANASONIC_D,139.7381,-122.5296,1.4,7.8,90.0,top
TP_XT3,TP-SP,130.5941,-105.5116,0.8,0.8,0.0,top
Z1,CT_CN0603,126.9111,-92.3036,3.0,1.0,180.0,top
T1,SOT-23,122.3391,-105.1306,2.921,2.7178,-90.0,top
Y2,RESONATOR,155.4861,-106.7816,2.7,2.0,0.0,top
TP_7,TP-SP,159.9311,-80.8736,0.8,0.8,0.0,top
L2,0805,153.3271,-123.5456,3.4,1.0,0.0,top
ZU4,DIL28-3,160.5661,-115.2906,34.4424,9.7536,180.0,top
GND_TP0,TP-SP,157.3911,-129.1336,0.8,0.8,0.0,top
UNK_HOLE_1,dummyfp1,180.2511,-124.0536,3.2,3.2,0.0,top
D1,SMB,135.8011,-128.8796,6.8,2.4,180.0,top
D3,MINIMELF,127.2921,-85.4456,1.8,4.8,90.0,top
TP_12,TP-SP,145.7071,-80.8736,0.8,0.8,0.0,top
F1,L1812,118.2751,-105.1306,3.4,5.8,90.0,top
TP_MOSI2,TP-SP,132.4991,-86.7156,0.8,0.8,0.0,top
RN4,CAY16,172.6311,-97.8916,2.0,2.9,90.0,top
TP_XUSB0,TP-SP,122.7201,-94.8436,0.8,0.8,0.0,top
FD1,FIDUCIA-MOUNT,120.5611,-81.7626,1.016,1.016,0.0,top
C3,C0603-ROUND,139.7381,-116.3066,1.1,2.6764,90.0,top
TP_2,TP-SP,172.6311,-80.8736,0.8,0.8,0.0,top
TP_RESET0,TP-SP,147.2311,-129.1336,0.8,0.8,0.0,top
U5,MSOP08,133.2611,-111.3536,5.425,2.25,90.0,top
C5,C0603-ROUND,142.1511,-101.8286,2.6764,1.1,0.0,top
TP_USBVCC0,TP-SP,124.1171,-100.8126,0.8,0.8,0.0,top
TP_SCK2,TP-SP,132.4991,-84.1756,0.8,0.8,0.0,top
ORIGIN0,TP-SP,114.2111,-131.6736,0.8,0.8,0.0,top
TP_6,TP-SP,162.4711,-80.8736,0.8,0.8,0.0,top
TP_SDA0,TP-SP,135.5471,-80.8736,0.8,0.8,0.0,top
X2,PN61729,118.0211,-93.5736,7.1562,15.216,-90.0,top
TP_RX0,TP-SP,166.6621,-97.5106,0.8,0.8,0.0,top
TP_3V3,TP-SP,149.7711,-129.1336,0.8,0.8,0.0,top
TP_CMP0,TP-SP,144.1831,-108.3056,0.8,0.8,0.0,top
TP_AREF0,TP-SP,138.0871,-80.8736,0.8,0.8,0.0,top
TP_UGND0,TP-SP,120.1801,-94.8436,0.8,0.8,0.0,top
RN3,CAY16,127.0381,-94.8436,2.0,2.9,90.0,top
Y1,QS,133.1341,-105.5116,6.7564,1.6764,180.0,top
TP_ONL0,TP-SP,170.8531,-96.6216,0.8,0.8,0.0,top
C9,C0603-ROUND,130.2131,-102.0826,2.6764,1.1,180.0,top
C11,C0603-ROUND,136.4361,-102.0826,2.6764,1.1,0.0,top
TP_1,TP-SP,175.1711,-80.8736,0.8,0.8,0.0,top
UNK_HOLE_2,dummyfp2,129.4511,-80.8736,3.2,3.2,0.0,top
RESET0,TS42,120.5611,-82.2706,10.0,5.9,0.0,top
POWER0,1X08,151.0411,-129.1336,19.2024,2.1336,0.0,top
U2,SOT23-DBV,136.1821,-116.4336,3.8,2.45,-90.0,top
Z2,CT_CN0603,126.9111,-98.0186,3.0,1.0,180.0,top
C7,C0603-ROUND,142.1511,-100.1776,2.6764,1.1,0.0,top
TP_A3,TP-SP,172.6311,-129.1336,0.8,0.8,0.0,top
TP_PB5,TP-SP,135.0391,-89.2556,0.8,0.8,0.0,top
IOH0,1X10,144.4371,-80.8736,24.2824,2.1336,180.0,top
L0,CHIP-LED0805,142.1511,-89.5096,3.3,1.2,-90.0,top
TP_DTR0,TP-SP,140.1191,-101.8286,0.8,0.8,0.0,top
TP_13,TP-SP,143.1671,-80.8736,0.8,0.8,0.0,top
RN2,CAY16,142.1511,-92.3036,2.0,2.9,-90.0,top
GND_TP1,TP-SP,140.6271,-80.8736,0.8,0.8,0.0,top
C2,C0603-ROUND,126.2761,-101.8286,2.6764,1.1,180.0,top
IOL0,1X08,168.8211,-80.8736,19.2024,2.1336,180.0,top
GROUND0,SJ,125.6411,-91.0336,2.6924,1.6002,180.0,bottom
